,ANALYSER_NAME,ANALYSER_VERSION,ANALYSIS_DATE,FIELD_SID_ANIMAL_NAME,FIELD_SID_OWNER_LASTNAME,FIELD_SID_PATIENT_ID,FIELD_SID_PATIENT_LAST_NAME,FIELD_SID_SAMPLE_ID,FIELD_SID_SPECIES_ID,FLAGS_HISTOGRAM_SampleHistogram,MPV_HighLimit,MPV_LowLimit,MPV_Value,PLT_HighLimit,PLT_LowLimit,PLT_Value,PLT_THRESHOLDS_SampleThresholds,HCT_HighLimit,HCT_LowLimit,HCT_Value,HGB_HighLimit,HGB_LowLimit,HGB_Value,HGB_HISTOGRAM_SampleHistogram,MCH_HighLimit,MCH_LowLimit,MCH_Value,MCHC_HighLimit,MCHC_LowLimit,MCHC_Value,MCV_HighLimit,MCV_LowLimit,MCV_Value,RBC_HighLimit,RBC_LowLimit,RBC_Value,RDW_HighLimit,RDW_LowLimit,RDW_Value,TEMPERATURE,UNITS,EOS#_HighLimit,EOS#_LowLimit,EOS#_Value,EOS%_EOS,EOS%_HighLimit,EOS%_LowLimit,EOS%_Value,GRA#_HighLimit,GRA#_LowLimit,GRA#_Value,GRA%_HighLimit,GRA%_LowLimit,GRA%_Value,GRA%_HISTOGRAM_SampleHistogram,LYM#_HighLimit,LYM#_LowLimit,LYM#_Value,LYM%_HighLimit,LYM%_LowLimit,LYM%_Value,MON#_HighLimit,MON#_LowLimit,MON#_Value,MON%_HighLimit,MON%_LowLimit,MON%_Value,MON%_THRESHOLDS_SampleThresholds,WBC_HighLimit,WBC_LowLimit,WBC_Value,genetic_background,Genotype,Treatment,sex,date_of_birth,date_of_treatment,date_sacrificed,age_at_treatment,age_w,weeks_after_treat
72,MICROS60,V2.8 ,12-01-22 17:35,BLOOD,GUEZGUEZ,1236,,AUTOSID073,mouse,0;0;2;7;17;29;39;50;61;72;82;91;98;99;97;91;88;81;73;66;59;52;46;40;35;31;26;22;19;17;14;13;12;10;9;8;7;6;5;5;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;2;3;3;4;4;4;4;4;4;5;6;6;7;7;8;9;9;10;12;12;14;16;17;18;20;22;26;29;32;34;37;39;43;49;52;57;62;70;77;84;92;103;113;121;134;143;156;166;177;189;200;206;212;216;219;223;221;221;220;218;0;,7.3,4.6,5.4,600,140,853,72,52,36,56.1,18,11.1,16.9,0;0;0;0;0;0;0;0;0;0;1;5;7;17;35;74;124;181;210;223;200;179;155;141;128;119;103;88;73;57;46;36;23;18;15;14;13;15;12;11;10;8;7;7;7;7;4;4;3;4;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,14.5,42,21.6,30.2,69,44,48,12,5,11.68,25,21,15.8,20.13,Standard,0,0,0.04,1,0,0,0.7,6.8,1.2,0.9,99,0,12.0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;20;46;89;132;173;207;223;220;199;178;161;139;117;99;88;77;67;55;51;44;39;32;27;25;24;22;18;19;20;20;19;20;22;20;18;17;18;16;17;15;14;12;11;9;9;7;6;5;5;5;5;4;3;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,5.7,99,0,85.6,0.8,0.3,0.1,99,0,2.4,000;000;096;049;053,15,3,6.7,C57BL6,Cre+,vehicle,f,2021-10-13T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.857142857142858,20.714285714285715,11.857142857142858
73,MICROS60,V2.8 ,12-01-22 17:37,BLOOD,GUEZGUEZ,1230,,AUTOSID074,mouse,0;0;1;6;15;26;37;50;62;75;86;97;105;109;108;104;97;92;84;75;67;59;52;45;40;36;34;29;26;23;20;18;15;14;13;12;10;7;6;6;6;5;5;5;4;4;4;4;4;4;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;5;5;6;7;7;7;7;9;10;10;10;12;12;13;14;15;18;19;22;23;26;29;31;35;37;40;46;50;54;60;67;71;77;84;92;101;109;119;126;137;150;161;172;184;198;212;221;223;223;223;223;223;223;223;223;0;,7.3,4.6,5.6,600,140,597,72,52,36,56.3,18,11.1,17.4,0;0;0;0;0;0;0;0;0;0;2;4;7;13;26;54;91;145;186;217;223;216;184;161;143;134;124;111;94;81;63;56;36;30;21;18;16;12;12;12;12;10;10;9;8;7;6;6;5;4;4;2;2;2;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,15.4,42,21.6,30.9,69,44,50,12,5,11.26,25,21,15.9,20.1,Standard,0,0,0.03,1,0,0,0.3,6.8,1.2,1.3,99,0,10.1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;25;54;96;139;183;212;223;214;193;173;150;130;112;98;86;74;63;55;48;43;37;33;28;23;20;17;16;16;16;16;14;15;14;14;14;14;13;14;13;13;11;12;11;10;8;6;5;5;4;4;3;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,10.6,99,0,87.9,0.8,0.3,0.2,99,0,2.0,000;000;096;049;053,15,3,12.1,C57BL6,Cre+,TMX,f,2021-10-18T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.142857142857142,20.0,11.857142857142858
74,MICROS60,V2.8 ,12-01-22 17:38,BLOOD,GUEZGUEZ,1198,,AUTOSID075,mouse,0;0;0;3;7;12;18;27;33;39;44;50;55;56;56;56;54;49;46;43;40;37;33;31;28;25;22;20;18;16;15;13;12;10;10;9;8;7;7;6;6;5;4;4;4;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;4;4;4;5;5;6;6;7;7;8;10;10;12;13;15;16;18;19;22;23;27;30;33;36;39;43;48;54;59;65;71;77;86;94;103;110;118;126;135;142;151;159;169;179;188;199;205;210;215;219;221;223;221;219;217;0;,7.3,4.6,5.9,600,140,673,72,52,36,57.5,18,11.1,17.3,0;0;0;0;0;0;0;0;0;0;2;5;11;26;53;102;160;204;221;223;202;184;158;146;133;114;99;90;73;58;42;34;26;22;16;16;15;14;14;14;12;11;9;7;7;6;5;4;3;3;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,14.3,42,21.6,30.2,69,44,47,12,5,12.11,25,21,16.6,20.01,Standard,0,0,0.33,1,0,0,2.1,6.8,1.2,2.5,99,0,15.3,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;7;14;31;60;100;144;187;215;223;213;189;165;141;123;105;89;73;63;53;49;44;40;36;33;30;28;26;25;23;23;23;22;21;21;21;20;18;18;18;18;16;15;14;14;14;14;12;11;10;10;9;8;7;6;4;3;3;2;1;2;2;2;2;2;2;2;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,12.9,99,0,81.9,0.8,0.3,0.4,99,0,2.8,000;000;096;049;053,15,3,15.8,C57BL6,Cre+,TMX,m,2021-09-20T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,12.142857142857142,24.0,11.857142857142858
75,MICROS60,V2.8 ,12-01-22 17:43,BLOOD,GUEZGUEZ,1233,,AUTOSID076,mouse,0;0;2;7;18;30;41;54;66;78;91;101;108;111;109;103;98;90;84;76;68;60;55;50;43;40;36;32;28;26;23;20;17;14;12;11;9;9;8;7;6;6;6;6;6;5;5;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;4;4;5;5;5;6;6;6;6;7;7;9;9;12;12;13;15;15;19;21;23;25;28;30;33;37;42;49;53;59;65;71;78;84;94;102;109;115;123;131;140;148;160;172;181;191;199;207;212;217;220;223;222;221;219;0;,7.3,4.6,5.5,600,140,921,72,52,36,53.4,18,11.1,16.4,0;0;0;0;0;0;0;0;0;0;2;4;7;16;38;75;125;179;213;223;202;189;164;150;130;120;105;91;71;64;46;36;25;21;18;16;12;14;11;12;10;9;9;8;7;6;4;4;3;3;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,14.8,42,21.6,30.8,69,44,48,12,5,11.09,25,21,16.2,20.24,Standard,0,0,0.05,1,0,0,0.6,6.8,1.2,1.4,99,0,13.7,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;20;48;88;130;173;205;223;221;205;188;167;144;125;113;104;90;81;74;69;64;58;54;46;40;35;31;29;28;28;25;25;23;23;21;22;20;21;18;17;17;17;15;16;15;15;13;11;10;9;7;6;5;6;5;4;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,8.1,99,0,83.1,0.8,0.3,0.3,99,0,3.2,000;000;096;049;053,15,3,9.8,C57BL6,Cre+,TMX,f,2021-10-13T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.857142857142858,20.714285714285715,11.857142857142858
76,MICROS60,V2.8 ,12-01-22 17:45,BLOOD,GUEZGUEZ,1234,,AUTOSID077,mouse,0;0;0;4;11;19;27;37;44;53;58;66;72;75;74;72;69;63;60;55;51;47;43;38;35;31;28;26;24;22;21;19;17;14;12;11;10;9;8;7;6;5;6;6;5;5;4;4;4;4;4;4;3;3;3;2;2;3;3;3;3;3;3;3;3;2;3;3;3;4;4;4;4;4;4;6;6;7;6;6;7;9;9;9;10;12;14;14;16;19;21;23;25;28;31;33;35;39;43;46;52;57;61;66;72;79;86;92;101;110;118;125;135;145;155;165;178;193;201;207;211;217;220;223;223;223;220;0;,7.3,4.6,5.9,600,140,636,72,52,36,59.2,18,11.1,18.3,0;0;0;0;0;0;0;0;0;0;2;3;7;17;32;63;110;162;199;223;219;211;180;165;143;126;111;107;83;75;55;50;32;28;20;16;16;15;14;12;13;12;13;11;8;6;6;5;6;4;3;2;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,15.3,42,21.6,30.9,69,44,49,12,5,12.0,25,21,16.1,20.09,Standard,0,0,0.17,1,0,0,1.8,6.8,1.2,2.1,99,0,20.5,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;7;16;31;59;93;138;176;211;223;215;192;168;151;136;120;103;87;76;68;61;55;49;44;42;40;39;37;34;32;34;34;35;34;34;31;29;29;29;29;28;26;27;28;28;25;22;18;18;17;17;15;13;12;10;9;9;7;5;3;2;1;1;1;2;2;2;1;2;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,7.4,99,0,76.1,0.8,0.3,0.3,99,0,3.4,000;000;096;049;053,15,3,9.8,C57BL6,Cre-,TMX,f,2021-10-13T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.857142857142858,20.714285714285715,11.857142857142858
78,MICROS60,V2.8 ,12-01-22 17:48,BLOOD,GUEZGUEZ,1202,,AUTOSID079,mouse,0;0;1;4;12;22;32;42;49;60;69;78;83;86;85;81;78;74;70;63;58;52;49;44;42;37;32;28;26;23;21;19;17;14;13;12;11;9;9;8;7;7;7;7;6;6;6;6;4;4;6;4;4;6;7;7;7;7;8;8;8;8;8;7;7;8;8;8;9;9;11;12;14;14;16;17;17;19;21;22;24;27;28;31;34;38;43;45;53;58;62;69;77;83;91;99;108;119;127;140;152;162;173;183;197;211;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;0;,7.3,4.6,6.2,600,140,502,72,52,36,58.3,18,11.1,17.8,0;0;0;0;0;0;0;0;0;0;4;9;17;35;65;106;156;195;216;223;213;194;176;159;136;120;100;91;72;57;44;42;30;20;22;17;16;16;14;13;13;10;10;7;8;6;5;5;3;3;3;2;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,14.5,42,21.6,30.5,69,44,47,12,5,12.3,25,21,17.2,20.08,Standard,0,0,0.83,1,0,0,6.4,6.8,1.2,2.9,99,0,22.3,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;7;14;31;58;91;133;173;209;223;220;203;179;153;134;117;105;92;84;72;62;55;47;43;40;39;37;33;32;32;35;34;32;32;32;32;30;26;24;23;22;22;22;24;22;22;20;21;19;17;14;14;14;13;11;9;9;9;9;7;7;6;4;4;4;4;4;3;4;3;3;2;2;2;2;2;2;2;2;2;3;3;3;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;0;0;1;0;,3.2,1.2,9.7,99,0,74.4,0.8,0.3,0.4,99,0,3.3,000;000;096;049;053,15,3,13.0,C57BL6,Cre+,vehicle,m,2021-09-21T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,12.0,23.857142857142858,11.857142857142858
79,MICROS60,V2.8 ,12-01-22 17:49,BLOOD,GUEZGUEZ,1235,,AUTOSID080,mouse,0;0;3;5;10;15;20;26;31;36;43;48;50;50;50;46;45;40;38;35;31;26;23;21;20;18;16;15;13;11;10;10;8;8;8;6;6;5;5;5;5;6;6;6;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;5;5;3;3;5;5;6;6;6;6;6;6;8;8;8;8;8;10;11;13;13;15;16;16;20;21;25;26;30;33;36;40;45;51;55;58;61;67;70;75;82;90;98;107;118;134;147;162;182;199;216;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;0;,7.3,4.6,6.2,600,140,211,72,52,36,58.7,18,11.1,18.0,0;0;0;0;0;0;0;0;0;0;1;3;7;14;23;56;89;146;186;223;214;204;177;159;148;138;118;108;89;76;62;51;37;28;22;20;16;14;15;15;13;12;10;10;9;8;7;5;5;5;4;3;3;2;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,15.4,42,21.6,30.7,69,44,50,12,5,11.67,25,21,15.9,20.08,Standard,0,0,0.79,1,0,0,9.3,6.8,1.2,1.8,99,0,20.8,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;9;20;44;79;118;161;202;223;221;203;182;161;141;125;110;95;85;75;63;53;44;44;41;36;31;27;28;26;26;28;27;26;21;21;19;19;20;21;20;19;19;20;18;15;14;14;15;13;12;11;11;10;9;9;8;8;6;6;5;3;3;3;4;4;3;3;3;4;5;5;5;4;3;4;4;3;2;2;2;2;2;2;3;3;3;2;2;2;2;3;2;2;1;1;2;2;2;1;2;2;3;2;2;0;,3.2,1.2,6.5,99,0,76.5,0.8,0.3,0.2,99,0,2.7,000;000;096;049;053,15,3,8.5,C57BL6,Cre+,vehicle,f,2021-10-13T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.857142857142858,20.714285714285715,11.857142857142858
80,MICROS60,V2.8 ,12-01-22 17:51,BLOOD,GUEZGUEZ,1237,,AUTOSID081,mouse,0;0;1;7;18;32;45;59;73;85;99;110;121;123;122;118;112;107;98;92;82;73;66;60;54;47;41;35;32;27;24;22;19;17;15;13;9;8;7;7;5;5;5;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;4;4;5;6;6;6;7;8;8;11;11;12;14;15;16;19;20;24;26;27;30;33;35;38;44;46;50;54;59;67;75;82;90;98;107;118;130;141;151;158;171;181;198;206;211;215;217;219;221;223;220;218;0;,7.3,4.6,5.5,600,140,710,72,52,36,53.3,18,11.1,16.5,0;0;0;0;0;0;0;0;0;0;1;3;5;12;22;49;85;135;184;214;223;205;175;162;147;134;122;106;88;74;59;43;32;24;17;17;12;13;12;11;11;9;9;9;8;6;7;5;5;4;3;2;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,15.4,42,21.6,31.0,69,44,50,12,5,10.72,25,21,15.6,20.12,Standard,0,0,0.03,1,0,0,0.4,6.8,1.2,1.2,99,0,14.8,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;37;69;110;147;182;209;223;220;210;196;183;169;154;138;121;111;105;100;92;84;74;70;66;60;54;50;48;47;40;37;34;32;30;29;33;33;29;24;19;17;16;17;16;14;13;12;9;7;6;4;4;4;4;6;3;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,6.3,99,0,80.5,0.8,0.3,0.3,99,0,4.7,000;000;096;049;053,15,3,7.8,C57BL6,Cre+,vehicle,f,2021-10-13T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.857142857142858,20.714285714285715,11.857142857142858
81,MICROS60,V2.8 ,12-01-22 17:52,BLOOD,GUEZGUEZ,1199,,AUTOSID082,mouse,0;1;2;7;17;27;34;44;55;63;73;84;92;95;92;87;86;83;76;71;65;57;51;46;43;38;35;28;25;22;19;17;15;13;12;11;8;8;7;7;6;6;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;6;4;6;6;4;6;7;7;8;9;9;11;11;13;14;15;17;18;20;20;23;25;28;31;35;40;43;47;52;59;63;68;76;81;86;89;100;109;119;129;138;151;163;175;190;204;215;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;223;0;,7.3,4.6,5.7,600,140,513,72,52,36,59.1,18,11.1,18.2,0;0;0;0;0;0;0;0;0;0;2;7;12;26;46;87;130;178;206;223;214;202;174;158;139;129;109;99;80;68;54;39;33;27;19;17;16;16;17;15;11;11;12;9;7;8;5;5;4;4;3;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,14.9,42,21.6,30.7,69,44,49,12,5,12.17,25,21,17.0,20.1,Standard,0,0,0.03,1,0,0,0.3,6.8,1.2,1.4,99,0,14.2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;19;44;78;119;160;200;223;221;203;180;163;144;127;109;91;78;66;60;54;49;43;36;32;31;30;29;25;23;23;21;22;20;22;21;21;20;20;20;20;20;19;19;17;14;11;11;10;10;9;7;6;5;4;3;2;1;0;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,8.3,99,0,82.8,0.8,0.3,0.3,99,0,3.0,000;000;096;049;053,15,3,10.0,C57BL6,Cre-,TMX,m,2021-09-20T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,12.142857142857142,24.0,11.857142857142858
83,MICROS60,V2.8 ,12-01-22 17:56,BLOOD,GUEZGUEZ,1223,,AUTOSID084,mouse,0;0;0;5;10;18;27;35;42;51;58;65;70;71;71;67;62;57;53;48;43;38;35;30;26;24;21;20;18;15;13;12;10;9;9;7;6;6;4;4;4;3;3;3;3;2;3;2;2;2;2;3;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;5;5;6;6;7;8;9;9;10;11;13;14;16;18;20;22;24;26;29;32;35;40;43;46;51;56;61;69;75;81;87;95;103;115;124;134;143;150;160;171;185;194;204;207;212;215;218;221;223;222;218;217;0;,7.3,4.6,5.6,600,140,754,72,52,36,60.3,18,11.1,18.6,0;0;0;0;0;0;0;0;0;0;2;4;9;21;44;85;138;186;223;221;190;165;142;130;122;108;96;80;62;44;36;27;21;16;16;13;14;12;11;11;10;12;8;7;7;6;4;5;3;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,14.6,42,21.6,30.9,69,44,47,12,5,12.77,25,21,15.2,20.13,Standard,0,0,0.06,1,0,0,0.8,6.8,1.2,1.2,99,0,13.5,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;23;52;89;137;178;213;223;220;204;185;160;134;112;95;83;70;60;49;43;42;38;36;29;28;27;24;22;19;19;20;20;22;23;21;21;20;19;17;16;18;18;16;14;14;12;10;7;7;6;8;6;6;5;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,3.2,1.2,6.5,99,0,83.9,0.8,0.3,0.2,99,0,2.6,000;000;096;049;053,15,3,7.9,C57BL6,Cre-,TMX,m,2021-10-06T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,9.857142857142858,21.714285714285715,11.857142857142858
84,MICROS60,V2.8 ,12-01-22 17:57,BLOOD,GUEZGUEZ,1229,,AUTOSID085,mouse,0;0;1;4;9;17;23;30;37;43;48;54;58;61;60;57;56;52;49;46;44;39;37;33;30;27;23;21;18;16;15;14;12;11;9;9;8;7;6;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;4;4;5;5;7;7;9;10;11;11;12;15;16;18;18;20;22;24;27;31;34;36;40;43;47;52;56;60;65;70;77;85;93;100;107;116;126;138;147;154;167;179;187;196;204;211;213;216;220;223;221;0;,7.3,4.6,5.8,600,140,609,72,52,36,57.7,18,11.1,17.9,0;0;0;0;0;0;0;0;0;0;1;3;8;16;30;65;109;172;198;223;199;181;146;137;126;116;102;92;71;61;46;35;24;19;15;15;13;13;12;12;12;10;8;8;7;6;6;6;4;3;2;2;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,24.5,12,15.1,42,21.6,31.0,69,44,49,12,5,11.88,25,21,15.6,20.13,Standard,0,0,1.58,1,0,0,12.0,6.8,1.2,3.8,99,0,28.1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;13;26;54;86;127;163;201;223;222;202;177;161;143;127;109;100;89;79;72;71;65;57;51;49;46;44;43;41;40;40;42;45;41;40;38;37;37;35;36;33;30;29;27;27;23;22;21;19;17;15;15;15;14;12;11;9;9;7;6;6;5;5;5;6;6;6;7;7;6;4;4;5;7;7;8;6;5;4;4;4;5;6;6;4;4;4;4;4;3;3;3;4;4;3;2;3;4;4;4;4;4;4;3;0;,3.2,1.2,9.0,99,0,68.3,0.8,0.3,0.4,99,0,3.6,000;000;096;049;053,15,3,13.2,C57BL6,Cre-,TMX,f,2021-10-18T00:00:00.000000000,2021-12-14T00:00:00.000000000,2022-03-07T00:00:00.000000000,8.142857142857142,20.0,11.857142857142858
